Locality,Dataset,Generalist_0,Low_Specialist_1,Moderate_Specialist_2,High_Specialist_3,Total_Specialists,Total_Species
ZMB_B,Pasti Kveten,1,0,5,0,5,6
ZMK_A,Pasti Kveten,5,6,4,1,11,16
ZMK_B,Pasti Kveten,6,5,7,1,13,19
BBN_A,All Combined,9,5,10,0,15,24
BBN_B,All Combined,10,11,9,0,20,30
BHN_A,All Combined,8,7,9,0,16,24
BHN_B,All Combined,8,8,10,0,18,26
BZN_A,All Combined,4,3,6,0,9,13
BZN_B,All Combined,5,4,14,0,18,23
BRK_A,All Combined,10,5,6,0,11,21
BRK_B,All Combined,12,9,6,0,15,27
DVR_A,All Combined,10,3,9,0,12,22
DVR_B,All Combined,12,4,6,1,11,23
HLN_A,All Combined,10,4,9,1,14,24
HLN_B,All Combined,3,4,6,0,10,13
HVZ_A,All Combined,12,6,11,1,18,30
HVZ_B,All Combined,17,12,5,2,19,36
HRD_A,All Combined,8,7,12,1,20,28
HRD_B,All Combined,8,9,12,0,21,29
HRC_A,All Combined,6,3,16,0,19,25
HRC_B,All Combined,6,5,7,1,13,19
CHV_A,All Combined,9,9,8,1,18,27
CHV_B,All Combined,12,10,14,1,25,37
KLS_A,All Combined,5,7,9,0,16,21
KLS_B,All Combined,3,6,8,0,14,17
KCD_A,All Combined,14,10,5,0,15,29
KCD_B,All Combined,8,10,2,0,12,20
KKL_A,All Combined,7,6,9,0,15,22
KKL_B,All Combined,10,8,12,1,21,31
LCL_A,All Combined,5,7,14,0,21,26
LCL_B,All Combined,4,8,11,0,19,23
LVJ_A,All Combined,9,6,7,0,13,22
LVJ_B,All Combined,6,9,16,0,25,31
NSV_A,All Combined,9,6,14,0,20,29
NSV_B,All Combined,4,5,7,0,12,16
OKL_A,All Combined,5,7,8,0,15,20
OKL_B,All Combined,5,8,11,0,19,24
NVS_A,All Combined,5,3,6,0,9,14
NVS_B,All Combined,1,2,6,0,8,9
PRZ_A,All Combined,2,7,15,1,23,25
PRZ_B,All Combined,2,4,9,0,13,15
PKV_A,All Combined,12,9,16,1,26,38
PKV_B,All Combined,7,8,4,0,12,19
RTR_A,All Combined,11,8,5,1,14,25
RTR_B,All Combined,7,5,2,0,7,14
STR_A,All Combined,7,6,11,0,17,24
STR_B,All Combined,12,7,15,2,24,36
SVD_A,All Combined,10,8,9,0,17,27
SVD_B,All Combined,12,6,8,0,14,26
SFR_A,All Combined,9,7,11,1,19,28
SFR_B,All Combined,9,8,7,0,15,24
VLS_A,All Combined,7,7,11,0,18,25
VLS_B,All Combined,7,7,12,0,19,26
VRJ_A,All Combined,10,11,8,0,19,29
VRJ_B,All Combined,7,9,2,0,11,18
ZHJ_A,All Combined,7,6,13,0,19,26
ZHJ_B,All Combined,9,8,9,0,17,26
