"","DCA1","DCA2","DCA3","DCA4"
"Cha042",-1.30915441299604,1.2045258397276,-0.94131883071949,-1.20752572657468
"SuiVar",2.40763223002171,0.720540265619201,1.24596876452427,-1.45977787066349
"MetBru",-0.336618050754333,1.94362100735037,-2.3679348487511,2.08708501296612
"Tre039",0.523983857970574,-2.09900483227962,0.991631807586895,-0.765865170941661
"o_Leo261",-0.60754853772437,-1.89024919198072,2.31604623431419,-2.64371920435312
"MycMet",0.317848153120237,1.54122791696132,-2.52542799450014,-1.73644700237073
"Tyl025",2.95291583866208,0.197432020148859,-0.171720723654335,-0.20721724337474
"StaPer069",-2.2576210578295,-0.11060748563247,0.130445134478102,-0.527320270040455
"Aur066",-1.78325441849407,-0.514989905477526,0.666555005138335,0.548285221018155
"Cla098",-0.94534508266096,-1.62636451800864,-0.858975782478854,2.24843028346653
"Pen043",4.88020607815818,0.210177003764922,0.0827004299276708,-0.0814186287523735
"Hyg118",-2.7291164664408,1.84298873770399,-2.17186198021888,2.37610582507652
"Phi028",0.745212749035195,-2.1244793938123,-1.83550447377381,-0.738070877228424
"Chal059",-1.73034297697489,0.5485004498197,0.0264641963237162,0.0651566662652199
"ClaArc",1.0290045887454,3.03010439776855,-1.00050512794004,0.461184521341894
"Cla073",3.17732862696254,2.32674167370215,3.01209680901625,-1.46979261774655
"f_Hya038",4.21826901916733,1.36457311427393,2.17388291186814,-0.763516396549297
"f_Hya065",1.97302839250799,0.634036172021908,0.798420794304653,1.23360858401541
"GalPal",1.24197769567528,-0.184731406276523,-0.143161738379093,-1.79282230936055
"Hya076",0.222250793826191,3.88373592410251,0.206099091969615,-0.675596808511772
"VarGig",-2.23395239904775,-0.668695728449185,0.589939365000271,-0.180428640172549
"o_Aur055",0.850911686527014,-1.44766548028524,-1.65170903594687,0.395236799175378
"Xen142",-0.234007481939807,0.688666129348109,-0.739775113343699,-1.2583956175722
"o_Atr034",0.216901557041766,-1.8366833232548,-2.0300956701463,-0.738936501013912
"Hya074",0.614410907341124,2.00816774547669,1.49229374660839,-0.861280374351103
"AraSph",1.62896293907597,1.41173497791123,-1.25159111662548,-1.97217556744542
"Ven037",0.239432477324401,-1.64421422761089,-2.33221518206287,-1.3568374360905
"Tal044",2.39009830406745,-0.577487015217606,1.5404334273845,0.0691615942059827
"o_Lec062",-1.84470344213931,-0.602899550727133,0.248368308258867,-0.383256811560181
"ChlHum",2.83300115065327,1.5706430107221,-1.54355968834971,1.79970700108175
"Lep020",3.78230293270917,0.193693691126382,0.134889165597671,-0.0732588648948702
"Art089",-0.417026739304044,0.8891571304367,0.724328677927253,-0.999717601234991
"Ple064",-2.58017094364467,-0.0575354546038556,-0.380884754774419,-1.55110225543697
"RutHen",-1.27870864435031,0.223090732358938,-0.607245619298284,-1.42606377037583
"Ven032",0.191444111779169,-2.27290781693972,-2.71206885221483,-1.24770152377149
"Cis061",-0.307684789542397,-0.343780682795849,-1.18549311807609,-0.641655594889445
"GeoSim",0.836980035289793,-3.0573951453146,2.41391276505297,0.284134529988307
"f_Cla108",-1.49375483220639,2.0429675750571,0.485067640147013,-2.69525333327663
"Ren101",0.313025416851929,1.44320814026711,-1.89059368705237,-2.26385139728578
"Cis053",-0.521090041269729,0.874249290777197,-0.233298970191004,1.3134980577238
"p_Roz138",-1.85355187492938,-0.00254687243918861,-0.0345883379017122,1.70718241687763
"Tom078",-1.79212166396714,-0.70862534760737,0.471005496076516,1.72142239264109
"SphPal",2.27417691697831,-2.46689613280218,-3.13370600069977,0.498862910638575
"Scl072",-1.15333427047645,1.28638265163146,-0.784121451082969,-0.121002393599012
"Cap134",0.584348379648476,2.87542535483485,0.531908930451261,-1.14571990130478
"o_Xyl079",0.710614913886879,2.59710807649092,-0.514634445126258,0.0888474595381732
"LacRuf",2.76621287241093,1.15873687175548,0.940292023342238,-1.54111670351326
"Cap057",-0.105869724353262,1.73987150632803,0.251332816574677,-1.38006470895684
"LepOrc",-0.6381864939738,2.82474141726845,0.518232837809328,1.40348940972987
"Orb116",-1.20244128387974,0.0921163771652549,-0.621401218799454,0.85226368536542
"o_Aur179",0.103748673613379,-2.60386292080612,0.546192342893469,0.457607276846279
"Cud107",0.44031582566558,2.46338555317224,-2.17219531665355,-2.14431724671872
