Species,Specialization,Specializatio_by_words,Short_names
Nitzschia fonticola,1,Wetland_tolerant ,NitFon
Nitzschia linearis,1,Wetland_tolerant ,NitLin
Nitzschia microcephala,1,Wetland_tolerant ,NitMic
Nitzschia palea,1,Wetland_tolerant ,NitPla
Nitzschia paleacea,1,Wetland_tolerant ,NitPlc
Nitzschia recta,1,Wetland_tolerant ,NitRec
Pinnularia obscura,1,Wetland_tolerant ,PinObs
Placoneis abiscoensis,1,Wetland_tolerant ,PlaAbi
Placoneis elginensis,1,Wetland_tolerant ,PlaElg
Placoneis cuneata,1,Wetland_tolerant ,PlaCun
Rhopalodia rupestris,1,Wetland_tolerant ,RhoRup
Rossithidium petersenii,1,Wetland_tolerant ,RosPet
Sellaphora atomoides,1,Wetland_tolerant ,SelAto
Sellaphora bacillum,1,Wetland_tolerant ,SelBac
Sellaphora nigrii,1,Wetland_tolerant ,SelNig
Sellaphora pseudoventralis,1,Wetland_tolerant ,SelPse
Sellaphora pupula,1,Wetland_tolerant ,SelPup
Sellaphora rectangularis,1,Wetland_tolerant ,SelRec
Sellaphora saugerresii,1,Wetland_tolerant ,SelSau
Sellaphora ventraloides,1,Wetland_tolerant ,SelVen
Sellaphora vitabunda,1,Wetland_tolerant ,SelVit
Staurosira construens,1,Wetland_tolerant ,StaCon
Staurosira venter,1,Wetland_tolerant ,StaVen
Staurosirella berolinensis,1,Wetland_tolerant ,StaBer
Staurosirella pinnata,1,Wetland_tolerant ,StaPin
Surirella angusta,1,Wetland_tolerant ,SurAng
Achnanthidium caledonicum,0,Generalist,AchCal
Achnanthidium lineare,0,Generalist,AchLin
Achnanthidium minutissimum,0,Generalist,AchMin
Amphora copulata,0,Generalist,AmpCop
Asterionella formosa,0,Generalist,AstFor
Aulacoseira granulata,0,Generalist,AulGra
Aulacoseira muzzanensis,0,Generalist,AulMuz
Caloneis aerophila,0,Generalist,CalAer
Cocconeis placentula,0,Generalist,CocPla
Cyclostephanos dubius,0,Generalist,CycDub
Discostella stelligera,0,Generalist,DisSte
Fragilaria capucina,0,Generalist,FraCap
Fragilaria delicatissima,0,Generalist,FraDel
