Short_names,BraBre,BraNeo,BraOca,BraSer,BraSty,BraVit,DecPla,DiaBal,EncCes,EncMic,EnsMin,EunArc,EunBil,EunExi,EunFle,EunGlf,EunGla,EunInc,EunPal,EunUrs,EunVal,FruCra,FruSax,IcoCur,IcoDel,NeiAff,NeiBis,PinAcr,PinBic,PinDiv,PinGib,PinSin,PinSto,PinSct,SelTri,StaExi,AdlBry,AdlPar,AulAlp,AulNiv,AulPus,AulTen,AulVal,CalSil,CalTen,CalUnd,CavCoc,CavLap,CavVar,CtePul,CymNav,CymSub,DipEll,DipKra,DipObl,DipOcu,DipOva,DipPar,DipSub,EncLun,EncPrg,EucFle,EucLae,EunBid,EunBot,EunFal,EunImp,EunMet,EunMic,EunMin,EunMus,EunNeo,EunNym,EunPra,EunRho,EunTen,FalIns,FalVit,FraBic,FraVir,GomGra,HalMon,ChaHas,ChaMed,ChaSoe,KobSub,NitAci,NitAlp,NitFru,NitNan,NitPls,NupPen,NupSil,PinBre,PinDec,PinDvt,PinEif,PinFre,PinGig,PinLeg,PinLok,PinMac,PinMar,PinMic,PinElo,PinNeo,PinCun,PinNob,PinNod,PinRup,PinStr,PinSgb,PinSrp,PinTra,PinVrf,PinVrd,PinPer,PinSil,PsaAci,StaAnc,StaGra,StaKri,StaPho,StaSmi,StaThe,TabFlo,TabVen,TryHun,AulAmb,AulIta,CalBac,CymAsp,DenKue,DiaEhr,EnnMin,EncPrp,EncSil,EncVen,EncLan,FruVul,GomAci,GomAcu,GomAng,GomBoz,GomCla,GomExi,GomHeb,GomMic,GomMin,GomPar,GomPse,GomSub,GomVar,MerCir,MerCon,NanCat,NavAng,NavExi,NavNot,NitAmp,NitCla,NitFon,NitLin,NitMic,NitPla,NitPlc,NitRec,PinObs,PlaAbi,PlaElg,PlaCun,RhoRup,RosPet,SelAto,SelBac,SelNig,SelPse,SelPup,SelRec,SelSau,SelVen,SelVit,StaCon,StaVen,StaBer,StaPin,SurAng,AchCal,AchLin,AchMin,AmpCop,AstFor,AulGra,AulMuz,CalAer,CocPla,CycDub,DisSte,FraCap,FraDel,FraGra,FraNan,FraTen,FraVau,GogExi,HanAbu,HanAmp,HanElo,HipCap,HumBre,HumPer,KarCle,LutAci,LutMut,MayAto,MayPer,NavCry,NavLan,NavRad,NavRhy,NavVen,PinBor,PlaFre,PlaLan,PseBre,PseSub,RhoGib,SteMen,SteHan,UlnUln,UlnAcu
BRK_A_SP3,,,,,,,,,,,,,,2,,,,,,107,,,,,,,,,,,,,,144,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,10,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRK_A_SP4,,,,,,,,,,,,,,6,,,,,,26,,,,,,,,,,,,,,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,12,,,130,,,,,,,4,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRZ_A_SP3,,,,,,,,,,,,,6,2,,,,,,,,,,,,,,,,,,24,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,4,,,,,,,156,,63,,,,,,45,4,,71,,,,,,,,,,,,,,,,,,,,,,,1,6,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRZ_A_HM3,,,,,,,,,,,,,14,16,,,,,,,,2,,,,,,,,,,34,,2,,,,,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,,,6,,,,,,,113,,28,,,,,,,,,104,,,,,,,,,,,,,,,,,2,,,,,,10,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,1,,,,,1,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HRC_A_HM2,,,,,,,,,,,,,,,,,,,140,,,,,,,,,,,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HRC_A_SP3,,,,,,,,,,,,,2,,,,,,84,,,,,,,,,,,,,,,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHV_A_SP4,,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,2,,,,14,,,,,,,,11,,,,,,2,,,,1,,,,,,,,,,,,,,,1,,,,,,81,,2,,,,,,210,,16,8,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,,,2,,,,2,2,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHV_A_HM2,,,,,,1,,,,,,,12,,,,,,,,2,,2,,,,,,,,,,,,,8,18,,,,,,,1,4,,,,,,,,,,,,,,,2,,,,,,,,,,16,,,,,,,,,,,,,,,,,32,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,2,,,,,,,,16,,,14,,,2,,39,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,24,,13,,1,,20,,,,,,,,,,12,,11,8,,,,,,,,,,,,,,,,,,1,,,,,,,,,10,102
OKL_A_SP5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,294,,41,18,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
OKL_A_HM2,,,,,,,,,,,,,28,,,,,,,,10,,,,,,,,,1,,,1,,2,132,7,,1,4,,,,,2,,,,,,,1,4,,2,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,2,,,14,19,7,,,,,,,,2,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,10,,,3,,,,1,,,,1,,,,1,4,8,,,1,1,,,1,1,,,,,,,,,,,1,9,,13,,,,,,4,,,,46,,4,,,,5,,,,,1,,,,,12,,,,,,,,,,,,,,,,,,,3,,5,,,,,,,,,,19
KLS_A_SP4,,,,,,,,,,,,,2,,4,,,,6,,8,,,,,,2,,,,,8,22,,,,16,,,,,,,,8,,,,,,,,4,,2,,,,,,,,,,,,,,,2,,,,,,56,,8,,,,,2,2,,,134,,20,,,2,2,,,,2,,,,,,,,,,,,6,36,,1,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,,,4,,,,6,,,,,,,,,,6,,,,2,,,,,,,,,10,,,,,,2,,,,,,,,,2,4,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
KLS_A_HM6,,,,,,,,,2,,,,2,,14,,,,8,,34,,,,,,,,,,,4,6,,,,24,,,,,,,,34,,,,,,,,22,,,,1,,,,,,,1,,,,,,1,,,,,,36,,4,,,,,,4,,6,108,18,34,,,,,,,,,,,,,,,2,,,,,,4,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,2,,2,,,,,,,,,,,,4,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZHJ_A_SP6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,2,,,,,284,46,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
ZHJ_A_SP2,,,,,,,,,,,,,,2,,,,,,,,,,,,,8,,,,,64,,2,,,20,,,,,,,,10,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,20,,12,,,,,16,84,,8,54,,,,,,2,,,,,,,,22,,,20,,2,,,20,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,2,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BZN_A_SP2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,6,,,,,,,,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,114,,4,,,,,,,,,,,,,,,,,,,,2,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,1,,,,,,6,,,,,,,,,,,,,30,,12,,,,,,,,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BZN_A_HM2,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,1,2,18,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,4,,6,204,,32,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,2,9,,,,,,,,,,,,,,,,,,1,,,,,4,,2,,,1,4,,,,,,,,,,53,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VLS_A_SP5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214,,72,,,,,55,53,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
