Species,DCA1,DCA2,Dataset
MicPul,1.584666678158344,-3.3046274345582396,Pasti Method
MicGeo,-0.8876194816005032,-3.1860987119268422,Pasti Method
MasSun,-0.10500319729041485,0.02622251976872847,Pasti Method
NeoVal,-1.3247614332774489,-0.11499700380875755,Pasti Method
NeoBim,-1.2504140363056324,1.7133934710259684,Pasti Method
NerCla,-0.9923861280932048,-1.9635350742511921,Pasti Method
NotSar,-0.518564356746959,0.37326187983482395,Pasti Method
OedFus,-0.7843108660819915,1.5817018555728555,Pasti Method
OedGib,1.9256173835551893,1.1096607740590265,Pasti Method
OryAng,-3.1980330456782906,-0.508419593978676,Pasti Method
OzyCla,-0.718081298022221,0.2763131662917415,Pasti Method
OzyPra,-0.3794172229018813,-0.31743354931155787,Pasti Method
OzyTru,0.49493022311489066,-0.24537017940941475,Pasti Method
PacCle,0.2110122045093381,1.5187600652772848,Pasti Method
PacDeg,-1.0543739476819298,1.614366995971083,Pasti Method
PacLis,0.7363362815545933,-1.6291758701611792,Pasti Method
ParAla,3.679017993812075,0.19294205769206552,Pasti Method
ParAme,1.72719660094281,1.8375502178026237,Pasti Method
ParLug,3.55737105262664,-1.6710658274077326,Pasti Method
ParPal,-0.23612875484892282,2.216169716691001,Pasti Method
ParPra,1.0419495721854477,1.759441165797988,Pasti Method
ParPul,-0.3143266737115442,0.4768376774801688,Pasti Method
ParRip,-1.8756006410808346,-2.0746939500475063,Pasti Method
PelRad,2.594500715465777,-2.9592235202174746,Pasti Method
PhrFes,-1.9894077082437587,-1.8915466839108808,Pasti Method
PirPir,0.6497147595159363,0.008278325713205303,Pasti Method
PirPis,-0.24851780817189428,0.7621377598213592,Pasti Method
PirTen,-1.0845681279099053,0.28411209389593384,Pasti Method
PirHyg,1.631700970146654,-0.5752111718128473,Pasti Method
PirLat,0.15826224671390987,0.7805736171655822,Pasti Method
PirUli,0.09016257132660721,-1.7310307657378634,Pasti Method
PocJun,-0.4859893696341556,0.3028196202102995,Pasti Method
PocPum,-0.5963450630731422,-0.29640042570255787,Pasti Method
RobAru,0.5682820723410527,-1.2340168879043771,Pasti Method
SibAur,1.960057393930854,2.0402193837251543,Pasti Method
SilEle,0.19302060850177472,1.3506473098774658,Pasti Method
TalExp,0.6962573502524327,-0.37511255599776505,Pasti Method
TenFla,-0.053300543725714356,-2.691987534892447,Pasti Method
TenTen,-1.96477774897965,1.4145970358351074,Pasti Method
ThaStr,-0.3914576892081201,-0.1915554407771891,Pasti Method
TmeAff,-3.1980330456782906,-0.508419593978676,Pasti Method
TroSpe,-0.12169363657437726,-0.6379674664088631,Pasti Method
TroSpi,0.7683976977661278,-0.20702576947140106,Pasti Method
TroTer,-0.21053199668027378,-1.563720735364006,Pasti Method
WalAlt,-1.9815396120613835,-1.6572466615219248,Pasti Method
WalAtr,3.555362053211008,-0.1665476140201878,Pasti Method
WalDys,3.6909061154782346,-1.7868769537975409,Pasti Method
WalFur,2.594500715465777,-2.9592235202174746,Pasti Method
