Species,DCA1,DCA2,Dataset
ZelSub,1.0645970710679091,2.1543507981455647,All Combined
ZorSpi,-0.5388628891727758,1.0988015934844162,All Combined
AcuCer,-0.5890184581819878,-1.1527447624806675,All Combined
AchCon,1.1202561568281308,-2.6711613216988925,All Combined
AraStu,-0.15686654807139533,-2.1983059092889334,All Combined
AraCuc,-0.8736321457745334,1.037201190501675,All Combined
AraOpi,-1.5324601518660108,-2.8704844779631635,All Combined
ArgBru,-0.16171283204191056,0.798155098803659,All Combined
AttFlo,-1.2259385918941905,0.6066478208706163,All Combined
CerPro,2.110404150630993,-0.7352242426035316,All Combined
CluKul,0.5391067753865695,-3.2082567584660344,All Combined
CycCon,-2.4906654236408814,0.9154497198898546,All Combined
DiaDor,-1.2701464901559343,-3.4823779254223113,All Combined
