,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,
,,,,Bažanka,Bažanka,Borky,Borky,Chvojnov,Chvojnov,Dvo?išt?,Dvo?išt?,Hliní?,Hliní?,Hovízna,Hovízna,Hrachovišt?,Hrachovišt?,Hráde?ek,Hráde?ek,Kališt?,Kališt?,Kukla,Kukla,Oklika,Oklika,Nad Svitákem,Nad Svitákem,Sta?kovský ryb.,Sta?kovský ryb.,Starý Vdovec,Starý Vdovec,V Lisovech,V Lisovech,V Rájích,V Rájích,Zhejral,Zhejral,Žemli?ka baz,Žemli?ka baz,Žemli?ka kys,Žemli?ka kys,Babín,Babín,Bahna,Bahna,Kocanda,Kocanda,Louky u ?erného lesa,Louky u ?erného lesa,Louky v Jeníkov?,Louky v Jeníkov?,Návesník,Návesník,Pa?ez,Pa?ez,Pod kamenným vrchem,Pod kamenným vrchem,Ratajské rybvníky,Ratajské rybvníky,Šafranice,Šafranice,Zlámanec,Zlámanec,
,,,,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,a,b,a,b,a,b,a,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,
No.,Group name:,,,Sample01,Sample02,Sample03,Sample04,Sample05,Sample06,Sample07,Sample08,Sample09,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15,Sample16,Sample17,Sample18,Sample19,Sample20,Sample21,Sample22,Sample23,Sample24,Sample25,Sample26,Sample27,Sample28,Sample29,Sample30,Sample31,Sample32,Sample33,Sample34,Sample35,Sample36,Sample37,Sample38,Sample39,Sample40,Sample41,Sample42,Sample43,Sample44,Sample45,Sample46,Sample47,Sample48,Sample49,Sample50,Sample51,Sample52,Sample53,Sample54,Sample55,Sample56,Sample57,Sample58,Sample59,Sample60,
8,CL00008,Didymella_prosopidis,DidPro,6.14,0.408376963,2.97,0.43,0.15,0.68,0.01,0.05,0,0.034322979,0.021526208,0.09,2.93,0.47,2.73,0.42,4.5,0.66,0,0.07,2.193322981,0.67,14.87,0.623588861,0.06,0,0,0,3.8,2.42,0.7,1.264572219,2.63,4.16,0.459652707,0.08,0.02,0.03,0.02,0.18,23.63,0.59,0.094428706,0.43,1.078085642,0.260918888,0.83,9.18196995,0.61,0.24,0.5,0.12,0.21,0.05,0.11,1.62,0.64,10.45,0.36,1.45,109.4007661
9,CL00013,Pyrenochaetopsis_leptospora,PyrLep,0.84,7.445026178,0.34,0.05,0.06,2.92,0,0.03,0.04,0,0.05381552,0.42,3.08,0.94,0.56,16.9,1.73,2.1,0.06,3.13,4.309006211,10.97,2.66,4.343618966,0,0.08,0,0.03,3.18,3.18,6.3,1.007705987,0.07,0.58,2.73237998,0.16,0,0.01,0,0.05,0.63,0.9,0.094428706,3.31,0.040302267,2.121384005,0.01,5.50918197,0.65,1.14,0.52,1.36,0,0,0.09,1.76,0.74,2.24,0.15,0.13,101.7568498
10,CL00007,Stagonospora_perfecta,StaPer007,0,0,5.23,0.27,0,1.43,0.86,6.66,0.19,0,0.193735873,4.45,0,0,0,0,0.01,0,0,0,0.019409938,0.03,0,0,0.09,1.77,4.54,8.55,0,0.01,6.89,15.27366133,0,2.92,0.280898876,0,0.46,11.06,0.02,0,0.34,0,2.124645892,0.13,0.251889169,0,0,0,6.59,6.33,0,0.02,0.02,3.28,0.19,0.24,0.15,0,0,0,90.87424108
11,CL00012,Chloridium_setosum,ChlSet,0,0,0,0,0,0,0.12,3.48,2.93,0.995366398,0.010763104,7.18,7.25,0.87,0,5.15,0,0,0.06,0.11,0,0,1.09,0,0.18,11.1,0,0.04,0,0,0,0,0,0,0,0,0,2.87,0.01,14.7,0,0,0,0,0,0,0,0,0,0,0,0,18.34,0.41,0,0,0.03,0,0,0,76.9261295
12,CL00018,Chloridium_sp,Chlo018,0.02,0.492146597,0,0,0,0.32,0,0,0,0,0,0,0,0.01,0,0.35,0.04,1.99,0,1.3,0,0,0,0.021503064,0.03,0,0,0,0,0.01,0,0,0,0.32,0.025536261,2.85,0,0,0,0,0.35,20.83,0,0.01,8.191435768,0.294951787,0,0,0.14,19.64,0,2.36,0,0,0,2.14,0.03,4.21,0,0,65.97557348
13,CL00005,Penicillium_montanense,PenMon,0,0,0.09,0,0.97,0,0.01,0.11,0.09,0.686459585,0,7.08,0,0,0.02,0.01,0.24,0.15,1.8,2.19,0,0.08,0.07,0,0,1.55,0.13,39.43,0.04,0,3.6,0,0,0.01,0.383043922,3.42,0.23,1,0,0.01,0.01,0,0,0.38,0,0,0.01,0,0.08,0.5,0.42,0,0,0,0,0.45,0,0.07,0.17,0,65.48950351
14,CL00010,Venturia_sp,Ven010,0,0.031413613,0,0,0,0,0,0.55,25.1,0.755105543,1.0547842,0,0.51,0.06,0,0,0,0.09,14.44,0.01,0,0,0,0,0,0.27,12.99,4.84,0,0,0,0,0.08,0.02,0.025536261,0.06,0.58,0.1,0.04,0,0,0,0,0,0.010075567,0.068065797,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,61.71498098
16,CL00016,Cladophialophora_sp,Cla016,0,0,0,0.76,0.03,0,0.01,5.68,0,0,0.021526208,0,0,0.01,0,0,0,0.04,0,0,0,0,0,0,0,2.89,0,0.33,0,0,0.71,0,0,0.02,0,0,0,6.18,0,11.47,0,0.31,8.734655335,5.96,0,0.034032898,0,0,0,0.04,0,0,0.2,12.37,5.24,0.04,0.03,0,0,0,61.11021444
15,CL00015,Phialocephala_sp,Phi015,0,0.062827225,0.28,3.93,0.93,0,0.59,0.18,0.91,1.939248327,0.333656226,0.09,1.9,0,0.72,0,0.23,0.08,0.04,0,0.019409938,0,0.17,0,12.3,1.5,8.35,0.67,0.12,0.12,0,0,0.74,0.1,0,0,0.28,0.26,11.41,0.02,0.3,0.02,0,0.06,0.725440806,0.090754396,0.34,0,0.46,0.28,1.49,0.03,1.62,0.98,0.3,0,3.96,0,0.35,0.01,59.29133692
21,CL00052,Gorgoniceps_sp,Gor052,0,0,0,0,2.32,0,0,0,0,45.90698473,0.936390055,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,1.87,0,0,0,0,0,0,0,0,0,0,3.56,0,0,0,0,0,0,0.01,0,0,0.31,0,0,0,0.01,0,0,0,0,0,0,0,0,0,55.06337478
17,CL00017,Meliniomyces_sp,Mel017,0,0,0,1.13,0.35,0,2.62,0.74,3.07,0.137291917,1.076310408,0.79,0.67,0,0,0,0,0,1.35,0,0,0,0,0,0.07,2.77,2.06,0.36,0,0,0.26,0.355660937,0,0,0,0,1.58,2.98,5.96,5.98,2.27,0,1.180358829,0,0,0,0.76,0,0,0,0,0,11.5,4.2,0.1,0.15,0,0,0,0,54.46962209
18,CL00019,Paraphaeosphaeria_michotii,ParMic,2,1.329842932,1.67,0.21,0.39,4.36,0.01,0.04,0.01,0.034322979,0.010763104,0.2,5.39,1.42,0.96,1.11,1.07,0.8,0.02,5.98,0.621118012,1.11,1.28,0.20427911,0,0,0,0,1.17,1.35,0.56,0.256866232,0.31,0.44,1.71092952,0.01,0,0.03,2.45,0.06,0.44,0.16,0.047214353,0.28,0.624685139,0.328984685,0.38,7.278797997,0.86,0.56,0.59,0.59,0.38,0.01,0,0.57,0.36,0.41,0.29,0.07,52.80780406
20,CL00027,Stagonospora_pseudocaricis,StaPse,1.47,0.795811518,0.27,0.06,0.04,1.09,0.02,0.09,0,0,0.010763104,0.02,3.14,0.01,0.68,0.02,3.38,0.43,0,0.23,1.64984472,1.68,5.95,1.193420062,0,0,0,0,0.81,0.67,2.54,0.612527169,0.87,0.18,5.13278856,0,0,0,0.07,0,0.16,0.19,0,0,1.14861461,2.2121384,0.13,1.986644407,0.05,0.28,5.24,0.48,0,0.01,0.03,0.14,0.31,0.31,1.2,0,46.99255255
