Locality,LOC,PLOT,FULL_NAME,pH_adjusted,Algoscore,Moisture_Topsoil,WTD_median,F_CLASS_median,EIV_weighted_by_species_ranges_and_covers,EIV_unweighted,Alkalinity,pH_soil,TOC,TN_sqrt,PO4_log,Cl_log,NO2,SO4_log,NO3_log,F,HCO3_sqrt,NH4 _log,K_log,Na,Li,Mg_sqrt,Sr_sqrt,Ba_sqrt,Ca_sqrt,Fe_log,Mn_log,Zn_log,Al_log,Age,Age_Reg5km,Age_Reg25_km,Aream2,Areakm2
NVS_B,NVS,B,Návesník B,5.63,5,3,11,8,7.57,7.42,2.31,5.2,268,2.383275058,-1.148741651,0.868644438,0.015159705,0.679427897,-1.766887937,0.14,7.021395873,-0.494850022,0.201397124,6.74,0.003774655,1.98242276,0.387298335,0.09,3.911521443,2.033423755,0.525044807,-0.408935393,1.926856709,11747,12998,13918,11538,0.012
OKL_A,OKL,A,Na Oklice A,6.63,2,2,6,5,7.98,7.61,2.86,5.2,365,1.109053651,-2.301029996,0.804139432,0.023198554,-0.568636236,-1.853361808,0.08,11.61895004,-1.301029996,0.539076099,8.85,0.01,2.582634314,0.458257569,0.004611806,5.00999002,1.77815125,0.56937391,-0.920818754,0.269512944,2227,11563,11997,27549,0.028
OKL_B,OKL,B,Na Oklice B ,6.31,4,2,8.5,6,7.88,7.84,2.55,5.8,349,0.974679434,-2.698970004,0.751279104,0.038135306,-0.920818754,-1.476744913,0.09,11.18033989,-1.867078722,0.445604203,8.08,0.005044526,2.50998008,0.4,0.006782499,4.74341649,1.948901761,1.113943352,-0.619788758,0.322219295,2227,11563,11997,27549,0.028
PKV_A,PKV,A,Pod Kamenným vrchem A,4.85,2,4,10,4,8.62,8,0.68,4.4,367,3.563705936,-0.48148606,0.056904851,0.03614662,0.985875357,-1.489140521,0.12,6.123724357,-1.301029996,-0.48148606,4.8,0.01,1,0.244948974,0.003528681,1.892088793,2.217483944,0.079181246,0.193124598,2.11058971,4393,13898,13918,14680,0.015
PKV_B,PKV,B,Pod Kamenným vrchem B,4.75,3,3,11,7,7.46,7.36,2.31,4.3,122,2.821347196,-0.749579998,0.096910013,0.012047926,0.828659897,-2.815006196,0.014656914,4.147288271,-0.698970004,-0.337242168,3.81,0.007327454,0.916515139,0.2,0.05,1.621727474,1.589949601,-0.37675071,-0.619788758,1.50242712,4393,13898,13918,14680,0.015
PRZ_A,PRZ,A,Pa?ez A ,5.69,3,1,2.5,3.5,8.1,8.04,1.74,4.9,329,1.549193338,-1.769551079,0.677606953,0.032579336,0.086359831,-2.29903335,0.37,6.92820323,-0.619788758,0.173186268,8,0.004847187,1.64924225,0.3,0.00151844,3.240370349,2.198657087,1.292256071,-0.721246399,1.053078443,5507,5507,11563,5586,0.006
PRZ_B,PRZ,B,Pa?ez B,5.82,5,1,5.5,4,8.09,8,1.92,4.6,309,2.431049156,-1.013228266,0.426511261,0.043142515,0.079181246,-1.419111139,0.3,4.335896678,-0.244125144,0.474216264,7.33,0.00309012,1.74642492,0.316227766,0.002771309,3.478505426,2.764922985,0.51054501,-0.244125144,1.922725458,5507,5507,11563,5586,0.006
RTR_A,RTR,A,Ratajské rybníky A,6.8,3,2,8.5,6.5,7.44,7.13,2.36,6.7,278,2.634387974,-1.30980392,0.931966115,0.019563133,0.336459734,-1.57664528,0.13,10.81665383,-0.408935393,0.728353782,8.33,0.000684946,2.787471973,0.374165739,0.05,5.310367219,2.397940009,1.181843588,-0.167491087,1.770852012,1855,11243,13918,4075,0.004
RTR_B,RTR,B,Ratajské rybníky B,6.48,4,3,8.5,8,7.14,7.17,0.57,5.4,225,2.463736999,-1.026872146,0.660865478,0.04174004,0.790285164,-0.301029996,0.14,6.212889827,-0.677780705,-0.036212173,5.68,0.007922165,1.852025918,0.316227766,0.008496885,3.701351105,1.532754379,-0.22184875,-0.886056648,1.746634199,1855,11243,13918,4075,0.004
SFR_A,SFR,A,Šafranice A,5.63,3,3,7,4,7.88,7.64,0.31,5,286,1.813835715,-1.602059991,0.938019097,0.04245243,0.686636269,-0.602059991,0.018759929,8.921883209,-0.853871964,0.450249108,5.18,0.008479396,2.073644135,0.264575131,0.006167601,3.768288736,2.416640507,1.44870632,-0.27572413,1.436162647,3614,3614,13918,7716,0.008
