Species,Family,Specialization,Specialization_words,Disperzal,Protection_Status,Short_name
Gongylidium rufipes,Linyphiidae,2,Wetland_specialist,2,NO,GonRuf
Hygrolycosa rubrofasciata,Lycosidae,2,Wetland_specialist,1,O,HygRub
Hypomma bituberculatum,Linyphiidae,2,Wetland_specialist,2,NO,HypBit
Hypomma cornutum,Linyphiidae,2,Wetland_specialist,2,TO,HypCor
Hypomma fulvum,Linyphiidae,2,Wetland_specialist,2,NZ,HypFul
Hypsosinga heri,Araneidae,2,Wetland_specialist,1,O,HypHer
Larinioides cornutus,Araneidae,2,Wetland_specialist,1,NO,LarCor
Lophomma punctatum,Linyphiidae,2,Wetland_specialist,2,TO,LopPun
Marpissa radiata,Salticidae,2,Wetland_specialist,1,O,MarRad
Neon valentulus,Salticidae,2,Wetland_specialist,1,O,NeoVal
Notioscopus sarcinatus,Linyphiidae,2,Wetland_specialist,2,TO,NotSar
Oedothorax gibbosus,Linyphiidae,2,Wetland_specialist,2,NO,OedGib
Pardosa amentata,Lycosidae,2,Wetland_specialist,1,NO,ParAme
Pardosa prativaga,Lycosidae,2,Wetland_specialist,1,NO,ParPra
Pirata piraticus,Lycosidae,2,Wetland_specialist,1,NO,PirPir
Pirata piscatorius,Lycosidae,2,Wetland_specialist,1,O,PirPis
Pirata tenuitarsis,Lycosidae,2,Wetland_specialist,1,TO,PirTen
Piratula hygrophila,Lycosidae,2,Wetland_specialist,1,NO,PirHyg
Piratula latitans,Lycosidae,2,Wetland_specialist,1,NO,PirLat
Porrhomma pygmaeum,Linyphiidae,2,Wetland_specialist,2,NO,PorPyg
Silometopus elegans,Linyphiidae,2,Wetland_specialist,2,O,SilEle
Tallusia experta,Linyphiidae,2,Wetland_specialist,2,NO,TalExp
Taranucnus setosus,Linyphiidae,2,Wetland_specialist,2,SO,TarSet
Tetragnatha extensa,Tetragnathidae,2,Wetland_specialist,0,NO,TetExt
Tetragnatha montana,Tetragnathidae,2,Wetland_specialist,0,NO,TetMon
Tetragnatha obtusa,Tetragnathidae,2,Wetland_specialist,0,NO,TetObt
Theridiosoma gemmosum,Theridiosomatidae,2,Wetland_specialist,1,O,TheGem
Tibellus maritimus,Philodromidae,2,Wetland_specialist,1,O,TibMar
Tmeticus affinis,Linyphiidae,2,Wetland_specialist,2,KO,TmeAff
Trichopterna cito,Linyphiidae,2,Wetland_specialist,2,O,TriCit
Trichopternoides thorelli,Linyphiidae,2,Wetland_specialist,2,TO,TriTho
Trochosa spinipalpis,Lycosidae,2,Wetland_specialist,1,TO,TroSpi
Walckenaeria alticeps,Linyphiidae,2,Wetland_specialist,2,NO,WalAlt
Walckenaeria kochi,Linyphiidae,2,Wetland_specialist,2,TO,WalKoc
Walckenaeria vigilax,Linyphiidae,2,Wetland_specialist,2,NO,WalVig
Xysticus ulmi,Thomisidae,2,Wetland_specialist,0,NO,XysUlm
Araeoncus humilis,Linyphiidae,1,Wetland_tolerant,2,NO,AraHum
Centromerus arcanus,Linyphiidae,1,Wetland_tolerant,2,NO,CenArc
Ceratinella brevipes,Linyphiidae,1,Wetland_tolerant,2,NO,CerBrp
Cercidia prominens,Araneidae,1,Wetland_tolerant,1,NO,CerPro
Cheiracanthium erraticum,Cheiracanthiidae,1,Wetland_tolerant,0,NO,CheErr
Clubiona diversa,Clubionidae,1,Wetland_tolerant,0,TO,CluDiv
Clubiona neglecta,Clubionidae,1,Wetland_tolerant,0,NO,CluNeg
Clubiona reclusa,Clubionidae,1,Wetland_tolerant,0,NO,CluRec
Clubiona subsaltans,Clubionidae,1,Wetland_tolerant,0,TO,CluSus
Clubiona subtilis,Clubionidae,1,Wetland_tolerant,0,TO,CluSut
Dismodiscus bifrons,Linyphiidae,1,Wetland_tolerant,2,NO,DisBif
Dismodiscus elevatus,Linyphiidae,1,Wetland_tolerant,2,TO,DisEle
Drassodes cupreus,Gnaphosidae,1,Wetland_tolerant,1,TO,DraCup
Euryopis flavomaculata,Theridiidae,1,Wetland_tolerant,1,NO,EurFla
Haplodrassus cognatus,Gnaphosidae,1,Wetland_tolerant,1,O,HapCog
Heliophanus dampfi,Araneidae,1,Wetland_tolerant,1,O,HelDam
Hypsosinga pygmaea,Araneidae,1,Wetland_tolerant,1,TO,HypPyg
Hypsosinga sanguinea,Araneidae,1,Wetland_tolerant,1,NO,HypSan
Inermocoelotes inermis,Agelenidae,1,Wetland_tolerant,0,NO,IneIne
Mermessus trilobatus,Linyphiidae,1,Wetland_tolerant,2,NO,MerTri
Metopobactrus prominulus,Linyphiidae,1,Wetland_tolerant,2,O,MetPro
Micrargus georgescuae,Linyphiidae,1,Wetland_tolerant,2,NO,MicGeo
Neriene clathrata,Linyphiidae,1,Wetland_tolerant,1,NO,NerCla
Oedothorax fuscus,Linyphiidae,1,Wetland_tolerant,2,NO,OedFus
Oxyopes ramosus,Oxyopidae,1,Wetland_tolerant,1,TO,OxyRam
