Species,PCo1,PCo2,Specializatio_by_words,Specialization_Level
FraVau,0.10350377460566432,0.02936600738111117,Generalist,Generalist
GogExi,0.35153553256910225,-0.18265450952607132,Generalist,Generalist
HanAbu,-0.04486296582371221,0.05321436004527339,Generalist,Generalist
HanAmp,0.010011536363286375,-0.1773679256542436,Generalist,Generalist
HanElo,0.15482647083341655,-0.18112392834533414,Generalist,Generalist
HipCap,0.06606326767252313,-0.1945646464638451,Generalist,Generalist
HumBre,0.04704562396844484,-0.29979329265070215,Generalist,Generalist
HumPer,0.35153553256910225,-0.18265450952607132,Generalist,Generalist
KarCle,0.1398661775449631,0.3269756677622952,Generalist,Generalist
LutAci,-0.30316433320888936,-0.2153488784990993,Generalist,Generalist
LutMut,0.04496820821726766,-0.3037226822301939,Generalist,Generalist
MayAto,0.0844391074896341,-0.22906428021985126,Generalist,Generalist
MayPer,-0.20302975363505915,-0.17044256319134893,Generalist,Generalist
NavCry,0.08592716124635985,-0.2593751274855941,Generalist,Generalist
NavLan,0.24451108293906623,0.2611820085372587,Generalist,Generalist
NavRad,0.17103550855577088,0.003205782895126272,Generalist,Generalist
NavRhy,0.22210646506582274,-0.3089954514681066,Generalist,Generalist
NavVen,0.16725448407443727,-0.24467036082906374,Generalist,Generalist
PinBor,0.06566676387697422,0.024496474051887037,Generalist,Generalist
PlaFre,-0.13962262384735283,-0.1911942941259036,Generalist,Generalist
PlaLan,0.2404788139943498,-0.020768105700033037,Generalist,Generalist
PseBre,0.1222550714280574,0.11284352969580827,Generalist,Generalist
PseSub,0.13489694646061745,-0.23453023208797277,Generalist,Generalist
RhoGib,0.28759820484772575,-0.3296900746209404,Generalist,Generalist
SteMen,0.05993798773348615,-0.1830647685451764,Generalist,Generalist
SteHan,0.07160083874282173,-0.026128175412026763,Generalist,Generalist
UlnUln,0.2765992020350098,-0.1492477327665534,Generalist,Generalist
UlnAcu,0.1841457992006946,-0.26347837043996264,Generalist,Generalist
