Species,PCo1,PCo2,Specializatio_by_words,Specialization_Level
EunMus,-0.28246076181838287,-0.11218877857923074,Wetland_specialist,Wetland_specialist
EunNeo,-0.09572428981230635,-0.2116384722684026,Wetland_specialist,Wetland_specialist
EunNym,-0.07998898704344105,-0.0877642811809043,Wetland_specialist,Wetland_specialist
EunPra,0.12022954334905915,0.07090428203857842,Wetland_specialist,Wetland_specialist
EunRho,-0.0832015245617865,-0.0232329528414471,Wetland_specialist,Wetland_specialist
EunTen,-0.020710353088353235,0.07021567846427873,Wetland_specialist,Wetland_specialist
FalIns,0.20838489128573165,-0.10289768942593962,Wetland_specialist,Wetland_specialist
FalVit,0.0453312745564266,0.12361021482982042,Wetland_specialist,Wetland_specialist
FraBic,0.009329945425446778,-0.256197702577364,Wetland_specialist,Wetland_specialist
FraVir,0.1941691465683856,0.08207410162451603,Wetland_specialist,Wetland_specialist
GomGra,0.18218447086227121,-0.0941390811011095,Wetland_specialist,Wetland_specialist
HalMon,0.13982397634749041,0.009596526290289628,Wetland_specialist,Wetland_specialist
ChaHas,0.005994554030502947,0.13872221333859563,Wetland_specialist,Wetland_specialist
ChaMed,-0.029910580197412315,0.06992042216716282,Wetland_specialist,Wetland_specialist
ChaSoe,0.10165610782314947,-0.04118580234448904,Wetland_specialist,Wetland_specialist
KobSub,0.016391109107426336,0.1079753685442072,Wetland_specialist,Wetland_specialist
NitAci,0.08858275599957673,0.018533569164808396,Wetland_specialist,Wetland_specialist
NitAlp,0.17412858080090807,-0.06873579004655872,Wetland_specialist,Wetland_specialist
NitFru,0.2269282703387869,0.011891978836097621,Wetland_specialist,Wetland_specialist
NitNan,0.1599542533973406,0.01597523513001712,Wetland_specialist,Wetland_specialist
NitPls,0.03796443024583506,0.2093127519892326,Wetland_specialist,Wetland_specialist
NupPen,0.13515228893443507,0.1450424377470626,Wetland_specialist,Wetland_specialist
NupSil,0.17443315764192388,0.006678262489420198,Wetland_specialist,Wetland_specialist
PinBre,0.05995665908851524,-0.09737549923802787,Wetland_specialist,Wetland_specialist
PinDec,0.059957781952029915,-0.034336661785752905,Wetland_specialist,Wetland_specialist
PinDvt,0.08166764667629023,-0.04385559465619269,Wetland_specialist,Wetland_specialist
PinEif,0.2812030671605639,-0.030834628685325008,Wetland_specialist,Wetland_specialist
PinFre,0.3090312702688713,-0.061020079979571304,Wetland_specialist,Wetland_specialist
PinGig,0.3090312702688713,-0.061020079979571304,Wetland_specialist,Wetland_specialist
PinLeg,0.13982397634749041,0.009596526290289628,Wetland_specialist,Wetland_specialist
PinLok,-0.0134151688487108,0.16786673091328072,Wetland_specialist,Wetland_specialist
PinMac,-0.1728207342357088,-0.10442456245821327,Wetland_specialist,Wetland_specialist
PinMar,0.3090312702688713,-0.061020079979571304,Wetland_specialist,Wetland_specialist
PinMic,-1.3197324733302653e-4,-0.07109678162043777,Wetland_specialist,Wetland_specialist
PinElo,-0.24267497148419648,-0.18087387990465867,Wetland_specialist,Wetland_specialist
PinNeo,-0.12394675988694945,-0.10385797036455653,Wetland_specialist,Wetland_specialist
PinCun,6.164700534687862e-4,0.01976727938149936,Wetland_specialist,Wetland_specialist
PinNob,0.24867465222195248,-0.10911804077930007,Wetland_specialist,Wetland_specialist
PinNod,0.20935169783522783,-0.0012032193976707591,Wetland_specialist,Wetland_specialist
PinRup,0.15783961447533515,0.0034189882257252267,Wetland_specialist,Wetland_specialist
PinStr,0.1464527881885234,0.03218577151507218,Wetland_specialist,Wetland_specialist
PinSgb,0.11195626473023916,-0.027448308278508,Wetland_specialist,Wetland_specialist
PinSrp,0.19091794433675802,-0.0970586172093862,Wetland_specialist,Wetland_specialist
PinTra,-0.09833579108604247,-0.05002220473606898,Wetland_specialist,Wetland_specialist
PinVrf,0.06709002753834707,-0.09219852944392944,Wetland_specialist,Wetland_specialist
PinVrd,0.07994641676086703,-0.07498817842031924,Wetland_specialist,Wetland_specialist
PinnulariaÂ perirrorataÂ ,0.13626247720493753,-0.03188090111345305,NA,Unknown
PinnulariaÂ silvatica,0.2054338120375715,0.03784070213534003,NA,Unknown
PsaAci,0.13872400147949213,-0.05648742008249924,Wetland_specialist,Wetland_specialist
StaAnc,-0.054213904792894924,-0.07445658062089712,Wetland_specialist,Wetland_specialist
StaGra,-0.29432457398801054,0.2660830885720611,Wetland_specialist,Wetland_specialist
StaKri,0.018791790997672128,-0.04655159708695715,Wetland_specialist,Wetland_specialist
StaPho,0.16683168580250576,-0.011928994396966376,Wetland_specialist,Wetland_specialist
